repeat,fold,model,n_masked,auprc,auroc
2,0,drop glucose,7,0.4385448104382141,0.7799707602339182
2,0,post_discharge_realistic,22,0.41221783313695876,0.8896198830409356
2,0,wrist_only_channels,50,0.25629344148626765,0.7237573099415204
2,1,none (baseline),0,0.5139743898625364,0.6289375715922108
2,1,drop hr,7,0.5082626063575548,0.5990836197021764
2,1,drop rr,7,0.5098763300999679,0.6222079037800687
2,1,drop spo2,7,0.5183403503249533,0.6504152348224513
2,1,drop sbp,7,0.5286725654052749,0.6362399770904926
2,1,drop map,7,0.5169873920224267,0.6359536082474228
2,1,drop temp_c,7,0.49728316175740866,0.5978665521191293
2,1,drop gcs_total,7,0.5182193229086393,0.8142898052691866
2,1,drop fio2,7,0.4419760388038347,0.6274341351660939
2,1,drop glucose,7,0.5200050652505436,0.6013745704467354
2,1,post_discharge_realistic,22,0.3818535703637999,0.658004009163803
2,1,wrist_only_channels,50,0.3245414432808593,0.6506300114547537
2,2,none (baseline),0,0.611738183993443,0.9383069248826291
2,2,drop hr,7,0.6001021799663937,0.9432218309859155
2,2,drop rr,7,0.6578399263326317,0.9565727699530517
2,2,drop spo2,7,0.5552136537948391,0.9402142018779343
2,2,drop sbp,7,0.5408287911626762,0.9209947183098592
