model,repeat,fold,auroc,auprc,n_test,n_pos_test
without demographics,2,1,0.6431623931623931,0.37595604063318067,51,12
without demographics,2,2,0.5195121951219512,0.291769772105097,51,10
without demographics,2,3,0.36666666666666664,0.15298103493435977,49,9
without demographics,2,4,0.6078947368421053,0.3515028170405745,48,10
without demographics,3,0,0.4458333333333333,0.2444098644161683,52,12
without demographics,3,1,0.45454545454545453,0.3241349816882355,51,11
without demographics,3,2,0.4666666666666667,0.2032725323574997,49,9
without demographics,3,3,0.4745011086474501,0.2348580355509402,52,11
without demographics,3,4,0.42894736842105263,0.1961316213669699,48,10
without demographics,4,0,0.415,0.18940478853368328,50,10
without demographics,4,1,0.42368421052631583,0.2032361213998587,48,10
without demographics,4,2,0.545,0.3378966036175236,50,10
without demographics,4,3,0.6125,0.31561342162323924,50,10
without demographics,4,4,0.44277673545966234,0.2255765263986561,54,13
without demographics,5,0,0.5341463414634147,0.3043175467404142,51,10
without demographics,5,1,0.6458333333333333,0.32788212838368197,52,12
without demographics,5,2,0.48717948717948717,0.2324046760298748,48,9
without demographics,5,3,0.6666666666666666,0.3528924638507181,53,12
without demographics,5,4,0.5684210526315789,0.3534746489373462,48,10
without demographics,6,0,0.6526806526806527,0.4431718968579167,50,11
without demographics,6,1,0.40040650406504064,0.2137628253241699,53,12
without demographics,6,2,0.45121951219512196,0.19246678950340276,51,10
without demographics,6,3,0.5275,0.2325973125495925,50,10
without demographics,6,4,0.5078947368421053,0.2250808418911867,48,10
without demographics,7,0,0.5900000000000001,0.24213336260103996,50,10
without demographics,7,1,0.3055555555555556,0.1415163164146904,49,9
without demographics,7,2,0.6239837398373984,0.34103435116702385,53,12
without demographics,7,3,0.5333333333333333,0.3007002002301119,52,12
without demographics,7,4,0.4921052631578947,0.27041413145797194,48,10
without demographics,8,0,0.5157894736842106,0.21946927595669014,48,10
without demographics,8,1,0.3894736842105263,0.17818355652885481,48,10
without demographics,8,2,0.5128205128205128,0.2108921058301863,49,10
without demographics,8,3,0.5477272727272726,0.29812304877585344,51,11
without demographics,8,4,0.48863636363636365,0.2223610080720208,56,12
without demographics,9,0,0.6473684210526316,0.28449172903120273,48,10
without demographics,9,1,0.5337995337995338,0.26423184998312577,50,11
without demographics,9,2,0.4675,0.19952608420853846,50,10
without demographics,9,3,0.6463414634146343,0.315174418409185,53,12
without demographics,9,4,0.2829268292682927,0.23255491033600323,51,10
without demographics,10,0,0.5543237250554324,0.324675903419219,52,11
without demographics,10,1,0.535,0.25309959738745347,50,10
without demographics,10,2,0.4365079365079365,0.21306807448419676,54,12
without demographics,10,3,0.3947368421052632,0.18327927873078764,48,10
without demographics,10,4,0.39736842105263154,0.18270311748319837,48,10
without demographics,11,0,0.4079822616407982,0.1869584881411035,52,11
without demographics,11,1,0.5473684210526315,0.28278653674516224,48,10
without demographics,11,2,0.5044722719141324,0.3059130220654728,56,13
without demographics,11,3,0.3868421052631579,0.17825795386770996,48,10
without demographics,11,4,0.3874643874643875,0.1765526687242422,48,9
without demographics,12,0,0.5487179487179487,0.2307691778465772,49,10
without demographics,12,1,0.4175,0.27334810768834983,50,10
without demographics,12,2,0.4898373983739837,0.30262751592843123,53,12
without demographics,12,3,0.4325,0.18783359581782638,50,10
without demographics,12,4,0.49650349650349646,0.23501743185913768,50,11
without demographics,13,0,0.40243902439024387,0.17235033149934226,51,10
without demographics,13,1,0.47420634920634924,0.20822851125697234,54,12
without demographics,13,2,0.5461538461538462,0.32462405355702206,49,10
without demographics,13,3,0.5135135135135135,0.26437304899902886,47,10
without demographics,13,4,0.625,0.39468423313749984,51,11
without demographics,14,0,0.6723646723646723,0.442714098124255,48,9
without demographics,14,1,0.5704545454545453,0.2928782038811268,51,11
without demographics,14,2,0.5411255411255411,0.2267712535167778,53,11
without demographics,14,3,0.5166666666666667,0.24130841943804643,52,12
without demographics,14,4,0.35,0.16910447782351806,48,10
without demographics,15,0,0.524390243902439,0.21700608133736754,51,10
without demographics,15,1,0.48461538461538467,0.23841661171632209,53,13
without demographics,15,2,0.4025641025641025,0.21292106773383246,49,10
without demographics,15,3,0.46111111111111114,0.18671373522074555,49,9
without demographics,15,4,0.344988344988345,0.1753320160639451,50,11
without demographics,16,0,0.4625,0.19277590433596786,50,10
without demographics,16,1,0.4642857142857143,0.22234952222967802,54,12
without demographics,16,2,0.5021645021645023,0.2514766600782139,53,11
without demographics,16,3,0.49736842105263157,0.22824750609048944,48,10
without demographics,16,4,0.4432432432432432,0.2303365868203705,47,10
without demographics,17,0,0.5376984126984127,0.25655554307896783,54,12
without demographics,17,1,0.45299145299145305,0.19835175230303803,48,9
without demographics,17,2,0.52,0.29712954726139307,50,10
without demographics,17,3,0.42105263157894735,0.21493629178340914,48,10
without demographics,17,4,0.4979166666666667,0.2430451735539617,52,12
without demographics,18,0,0.6609756097560976,0.2774308308759336,51,10
without demographics,18,1,0.6885553470919323,0.37233418314767913,54,13
without demographics,18,2,0.5026315789473684,0.2693344354739262,48,10
without demographics,18,3,0.6051282051282052,0.38088694251484945,49,10
without demographics,18,4,0.4275,0.27511130536130535,50,10
without demographics,19,0,0.6128205128205128,0.2700874125874126,49,10
without demographics,19,1,0.4695121951219512,0.21999695726643592,53,12
without demographics,19,2,0.43902439024390244,0.2876897148005055,51,10
without demographics,19,3,0.36153846153846153,0.252717722673803,49,10
without demographics,19,4,0.3543123543123543,0.1771245913669369,50,11
without index_stay,0,0,0.6439024390243903,0.3723026310795321,51,10
without index_stay,0,1,0.576923076923077,0.34258817936449515,49,10
without index_stay,0,2,0.5825,0.32050993809058326,50,10
without index_stay,0,3,0.3821138211382114,0.1884487747992365,53,12
without index_stay,0,4,0.49282296650717705,0.30990105456070527,49,11
without index_stay,1,0,0.6875000000000001,0.32323783359497643,50,10
without index_stay,1,1,0.5170731707317073,0.2980149881662128,51,10
